,exchange,symbol,datetime,datetime_start,datetime_end,open,high,low,close,volume,bar_size,vwap,bar_volatility,duration_minutes,tick_count,bar_return,price_range,close_position,regime_trend,regime_volatility,regime_momentum,regime_label,regime_confidence,trend_strength_z,vol_percentile,volatility_skew,transition_pressure,trend_acceleration,adaptive_alpha,up_vol,down_vol,regime_stability,directional_persistence,score_bull,score_bear,score_range,score_transition,score_high_vol,score_low_vol,score_accelerating,created_at
61,binance,btc,2024-01-29 20:18:00+00,2024-01-29 08:08:00+00,2024-01-29 20:18:00+00,42079.7,43298.0,41768.3,43065.8,175768.696,7484810954.27,42583.299,0.33987821,730,731,0.023434,0.036352,0.848206,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
62,binance,btc,2024-01-30 12:56:00+00,2024-01-29 20:19:00+00,2024-01-30 12:56:00+00,43065.9,43888.0,42966.5,43365.9,146090.472,6341470230.43,43407.829,0.34019597,997,998,0.006966,0.021397,0.433424,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
63,binance,btc,2024-01-31 00:20:00+00,2024-01-30 12:57:00+00,2024-01-31 00:20:00+00,43365.9,43750.0,42665.6,42962.9,139376.686,6034766433.96,43298.249,0.34018658,683,684,-0.009293,0.025006,0.274161,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
64,binance,btc,2024-01-31 15:24:00+00,2024-01-31 00:21:00+00,2024-01-31 15:24:00+00,42962.9,43077.0,42341.0,42851.0,135967.037,5814606768.07,42764.827,0.33998913,903,904,-0.002605,0.017131,0.692935,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
65,binance,btc,2024-02-01 00:07:00+00,2024-01-31 15:25:00+00,2024-02-01 00:07:00+00,42851.1,43748.6,42257.6,42612.9,171637.843,7393884644.03,43078.406,0.34013204,522,523,-0.005559,0.034795,0.238296,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
66,binance,btc,2024-02-01 14:15:00+00,2024-02-01 00:08:00+00,2024-02-01 14:15:00+00,42612.9,42612.9,41866.8,42266.0,125259.653,5278190334.78,42137.993,0.34044587,847,848,-0.008141,0.017509,0.535049,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
67,binance,btc,2024-02-02 02:17:00+00,2024-02-01 14:16:00+00,2024-02-02 02:17:00+00,42266.0,43430.0,42265.9,43147.0,167190.88,7165066533.06,42855.606,0.34038329,721,722,0.020844,0.027542,0.756894,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
68,binance,btc,2024-02-02 17:54:00+00,2024-02-02 02:18:00+00,2024-02-02 17:54:00+00,43147.0,43480.0,42512.7,42981.1,153551.485,6605595056.97,43018.764,0.3403814,936,937,-0.003845,0.022419,0.484234,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
69,binance,btc,2024-02-03 17:54:00+00,2024-02-02 17:55:00+00,2024-02-03 17:54:00+00,42981.1,43372.2,42756.1,43244.1,102295.435,4406070218.29,43072.012,0.30371406,1439,1440,0.006119,0.014334,0.792079,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
70,binance,btc,2024-02-04 17:54:00+00,2024-02-03 17:55:00+00,2024-02-04 17:54:00+00,43244.1,43252.9,42702.4,42882.7,90338.042,3879710849.18,42946.59,0.27212541,1439,1440,-0.008357,0.01273,0.32752,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
71,binance,btc,2024-02-05 11:35:00+00,2024-02-04 17:55:00+00,2024-02-05 11:35:00+00,42882.7,43264.2,42176.7,43135.8,147711.62,6315456658.68,42755.314,0.3403663,1060,1061,0.005902,0.02536,0.881931,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
72,binance,btc,2024-02-06 03:09:00+00,2024-02-05 11:36:00+00,2024-02-06 03:09:00+00,43135.8,43580.0,42311.2,42917.4,170573.32,7305587142.78,42829.6,0.34049335,933,934,-0.005063,0.029414,0.477774,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
